CONSUMER,PAIR,PRODUCT,MANGO,LEMON,CASSIS,CHOSEN
7,3,3,0.6,0.2,1.2,0
7,4,6,1.05,0.2,0.75,1
7,4,1,1.5,0.2,0.3,0
8,1,4,1.05,0.65,0.3,0
8,1,7,0.9,0.5,0.6,1
8,2,1,1.5,0.2,0.3,1
8,2,6,1.05,0.2,0.75,0
8,3,7,0.9,0.5,0.6,1
8,3,1,1.5,0.2,0.3,0
8,4,6,1.05,0.2,0.75,1
8,4,4,1.05,0.65,0.3,0
9,1,7,0.9,0.5,0.6,0
9,1,1,1.5,0.2,0.3,1
9,2,2,0.6,1.1,0.3,0
9,2,4,1.05,0.65,0.3,1
9,3,1,1.5,0.2,0.3,1
9,3,2,0.6,1.1,0.3,0
9,4,4,1.05,0.65,0.3,0
9,4,7,0.9,0.5,0.6,1
10,1,1,1.5,0.2,0.3,1
10,1,6,1.05,0.2,0.75,0
10,2,4,1.05,0.65,0.3,0
10,2,7,0.9,0.5,0.6,1
10,3,6,1.05,0.2,0.75,1
10,3,4,1.05,0.65,0.3,0
10,4,7,0.9,0.5,0.6,0
10,4,1,1.5,0.2,0.3,1
11,1,7,0.9,0.5,0.6,1
11,1,4,1.05,0.65,0.3,0
11,2,5,0.6,0.65,0.75,1
11,2,2,0.6,1.1,0.3,0
11,3,4,1.05,0.65,0.3,0
11,3,5,0.6,0.65,0.75,1
11,4,2,0.6,1.1,0.3,0
11,4,7,0.9,0.5,0.6,1
12,1,7,0.9,0.5,0.6,1
12,1,3,0.6,0.2,1.2,0
12,2,6,1.05,0.2,0.75,1
12,2,5,0.6,0.65,0.75,0
12,3,3,0.6,0.2,1.2,0
12,3,6,1.05,0.2,0.75,1
12,4,5,0.6,0.65,0.75,0
12,4,7,0.9,0.5,0.6,1
13,1,1,1.5,0.2,0.3,0
13,1,7,0.9,0.5,0.6,1
13,2,4,1.05,0.65,0.3,0
13,2,6,1.05,0.2,0.75,1
13,3,7,0.9,0.5,0.6,1
13,3,4,1.05,0.65,0.3,0
13,4,6,1.05,0.2,0.75,0
13,4,1,1.5,0.2,0.3,1
14,1,1,1.5,0.2,0.3,1
14,1,3,0.6,0.2,1.2,0
14,2,7,0.9,0.5,0.6,0
14,2,6,1.05,0.2,0.75,1
14,3,3,0.6,0.2,1.2,0
14,3,7,0.9,0.5,0.6,1
14,4,6,1.05,0.2,0.75,1
14,4,1,1.5,0.2,0.3,0
15,1,7,0.9,0.5,0.6,0
15,1,2,0.6,1.1,0.3,1
15,2,3,0.6,0.2,1.2,0
15,2,5,0.6,0.65,0.75,1
15,3,2,0.6,1.1,0.3,1
15,3,3,0.6,0.2,1.2,0
15,4,5,0.6,0.65,0.75,0
15,4,7,0.9,0.5,0.6,1
16,1,7,0.9,0.5,0.6,1
16,1,5,0.6,0.65,0.75,0
16,2,6,1.05,0.2,0.75,0
16,2,3,0.6,0.2,1.2,1
16,3,5,0.6,0.65,0.75,0
16,3,6,1.05,0.2,0.75,1
16,4,3,0.6,0.2,1.2,0
16,4,7,0.9,0.5,0.6,1
17,1,5,0.6,0.65,0.75,0
17,1,4,1.05,0.65,0.3,1
17,2,7,0.9,0.5,0.6,1
17,2,2,0.6,1.1,0.3,0
17,3,4,1.05,0.65,0.3,1
17,3,7,0.9,0.5,0.6,0
17,4,2,0.6,1.1,0.3,0
17,4,5,0.6,0.65,0.75,1
18,1,7,0.9,0.5,0.6,1
18,1,1,1.5,0.2,0.3,0
18,2,6,1.05,0.2,0.75,1
18,2,3,0.6,0.2,1.2,0
18,3,1,1.5,0.2,0.3,1
18,3,6,1.05,0.2,0.75,0
18,4,3,0.6,0.2,1.2,0
18,4,7,0.9,0.5,0.6,1
19,1,7,0.9,0.5,0.6,0
19,1,5,0.6,0.65,0.75,1
19,2,2,0.6,1.1,0.3,0
19,2,3,0.6,0.2,1.2,1
19,3,5,0.6,0.65,0.75,1
19,3,7,0.9,0.5,0.6,0
19,4,3,0.6,0.2,1.2,0
19,4,7,0.9,0.5,0.6,1
20,1,1,1.5,0.2,0.3,1
20,1,7,0.9,0.5,0.6,0
20,2,6,1.05,0.2,0.75,1
20,2,4,1.05,0.65,0.3,0
20,3,7,0.9,0.5,0.6,1
20,3,6,1.05,0.2,0.75,0
20,4,4,1.05,0.65,0.3,0
20,4,1,1.5,0.2,0.3,1
21,1,6,1.05,0.2,0.75,1
21,1,3,0.6,0.2,1.2,0
21,2,7,0.9,0.5,0.6,1
21,2,1,1.5,0.2,0.3,0
21,3,3,0.6,0.2,1.2,1
21,3,7,0.9,0.5,0.6,0
21,4,1,1.5,0.2,0.3,0
21,4,6,1.05,0.2,0.75,1
22,1,7,0.9,0.5,0.6,1
22,1,4,1.05,0.65,0.3,0
22,2,2,0.6,1.1,0.3,0
22,2,1,1.5,0.2,0.3,1
22,3,4,1.05,0.65,0.3,1
22,3,2,0.6,1.1,0.3,0
22,4,1,1.5,0.2,0.3,1
22,4,7,0.9,0.5,0.6,0
23,1,1,1.5,0.2,0.3,1
23,1,4,1.05,0.65,0.3,0
23,2,7,0.9,0.5,0.6,1
23,2,2,0.6,1.1,0.3,0
23,3,4,1.05,0.65,0.3,0
23,3,7,0.9,0.5,0.6,1
23,4,2,0.6,1.1,0.3,0
23,4,1,1.5,0.2,0.3,1
24,1,3,0.6,0.2,1.2,1
24,1,5,0.6,0.65,0.75,0
24,2,7,0.9,0.5,0.6,1
24,2,2,0.6,1.1,0.3,0
24,3,5,0.6,0.65,0.75,1
24,3,7,0.9,0.5,0.6,0
24,4,2,0.6,1.1,0.3,0
24,4,3,0.6,0.2,1.2,1
25,1,6,1.05,0.2,0.75,1
25,1,5,0.6,0.65,0.75,0
25,2,7,0.9,0.5,0.6,0
25,2,3,0.6,0.2,1.2,1
25,3,5,0.6,0.65,0.75,0
25,3,7,0.9,0.5,0.6,1
25,4,3,0.6,0.2,1.2,0
25,4,6,1.05,0.2,0.75,1
26,1,7,0.9,0.5,0.6,0
26,1,5,0.6,0.65,0.75,1
26,2,2,0.6,1.1,0.3,0
26,2,4,1.05,0.65,0.3,1
26,3,5,0.6,0.65,0.75,1
26,3,2,0.6,1.1,0.3,0
26,4,4,1.05,0.65,0.3,0
26,4,7,0.9,0.5,0.6,1
27,1,7,0.9,0.5,0.6,0
27,1,2,0.6,1.1,0.3,1
27,2,5,0.6,0.65,0.75,0
27,2,4,1.05,0.65,0.3,1
27,3,2,0.6,1.1,0.3,0
27,3,5,0.6,0.65,0.75,1
27,4,4,1.05,0.65,0.3,1
27,4,7,0.9,0.5,0.6,0
28,1,3,0.6,0.2,1.2,0
28,1,7,0.9,0.5,0.6,1
28,2,5,0.6,0.65,0.75,1
28,2,6,1.05,0.2,0.75,0
28,3,7,0.9,0.5,0.6,1
28,3,5,0.6,0.65,0.75,0
28,4,6,1.05,0.2,0.75,0
28,4,3,0.6,0.2,1.2,1
29,1,3,0.6,0.2,1.2,1
29,1,7,0.9,0.5,0.6,0
29,2,5,0.6,0.65,0.75,1
29,2,2,0.6,1.1,0.3,0
29,3,7,0.9,0.5,0.6,1
29,3,5,0.6,0.65,0.75,0
29,4,2,0.6,1.1,0.3,1
29,4,3,0.6,0.2,1.2,0
30,1,7,0.9,0.5,0.6,1
30,1,3,0.6,0.2,1.2,0
30,2,2,0.6,1.1,0.3,1
30,2,5,0.6,0.65,0.75,0
30,3,3,0.6,0.2,1.2,0
30,3,2,0.6,1.1,0.3,1
30,4,5,0.6,0.65,0.75,0
30,4,7,0.9,0.5,0.6,1
31,1,7,0.9,0.5,0.6,1
31,1,6,1.05,0.2,0.75,0
31,2,1,1.5,0.2,0.3,1
31,2,3,0.6,0.2,1.2,0
31,3,6,1.05,0.2,0.75,0
31,3,1,1.5,0.2,0.3,1
31,4,3,0.6,0.2,1.2,0
31,4,7,0.9,0.5,0.6,1
32,1,7,0.9,0.5,0.6,1
32,1,2,0.6,1.1,0.3,0
32,2,4,1.05,0.65,0.3,0
32,2,1,1.5,0.2,0.3,1
32,3,2,0.6,1.1,0.3,0
32,3,4,1.05,0.65,0.3,1
32,4,1,1.5,0.2,0.3,0
32,4,7,0.9,0.5,0.6,1
33,1,1,1.5,0.2,0.3,1
33,1,7,0.9,0.5,0.6,0
33,2,4,1.05,0.65,0.3,1
33,2,2,0.6,1.1,0.3,0
33,3,7,0.9,0.5,0.6,0
33,3,4,1.05,0.65,0.3,1
33,4,2,0.6,1.1,0.3,0
33,4,1,1.5,0.2,0.3,1
34,1,2,0.6,1.1,0.3,1
34,1,5,0.6,0.65,0.75,0
34,2,7,0.9,0.5,0.6,1
34,2,3,0.6,0.2,1.2,0
34,3,5,0.6,0.65,0.75,0
34,3,7,0.9,0.5,0.6,1
34,4,3,0.6,0.2,1.2,0
34,4,2,0.6,1.1,0.3,1
35,1,6,1.05,0.2,0.75,1
35,1,7,0.9,0.5,0.6,0
35,2,1,1.5,0.2,0.3,1
35,2,4,1.05,0.65,0.3,0
35,3,7,0.9,0.5,0.6,1
35,3,1,1.5,0.2,0.3,0
35,4,4,1.05,0.65,0.3,1
35,4,6,1.05,0.2,0.75,0
