CONSUMER,PAIR,MANGO,LEMON,CASSIS,TEMP,CHOSEN
19,1,0.45,0.25,0.3,1,0
19,1,0.3,0.325,0.375,1,1
19,2,0.3,0.55,0.15,1,0
19,2,0.3,0.1,0.6,1,1
19,3,0.3,0.325,0.375,1,1
19,3,0.45,0.25,0.3,1,0
19,4,0.3,0.1,0.6,1,0
19,4,0.45,0.25,0.3,1,1
20,1,0.75,0.1,0.15,1,1
20,1,0.45,0.25,0.3,1,0
20,2,0.525,0.1,0.375,1,1
20,2,0.525,0.325,0.15,1,0
20,3,0.45,0.25,0.3,1,1
20,3,0.525,0.1,0.375,1,0
20,4,0.525,0.325,0.15,1,0
20,4,0.75,0.1,0.15,1,1
21,1,0.525,0.1,0.375,1,1
21,1,0.3,0.1,0.6,1,0
21,2,0.45,0.25,0.3,1,1
21,2,0.75,0.1,0.15,1,0
21,3,0.3,0.1,0.6,1,1
21,3,0.45,0.25,0.3,1,0
21,4,0.75,0.1,0.15,1,0
21,4,0.525,0.1,0.375,1,1
22,1,0.45,0.25,0.3,1,1
22,1,0.525,0.325,0.15,1,0
22,2,0.3,0.55,0.15,1,0
22,2,0.75,0.1,0.15,1,1
22,3,0.525,0.325,0.15,1,1
22,3,0.3,0.55,0.15,1,0
22,4,0.75,0.1,0.15,1,1
22,4,0.45,0.25,0.3,1,0
23,1,0.75,0.1,0.15,1,1
23,1,0.525,0.325,0.15,1,0
23,2,0.45,0.25,0.3,1,1
23,2,0.3,0.55,0.15,1,0
23,3,0.525,0.325,0.15,1,0
23,3,0.45,0.25,0.3,1,1
23,4,0.3,0.55,0.15,1,0
23,4,0.75,0.1,0.15,1,1
24,1,0.3,0.1,0.6,1,1
24,1,0.3,0.325,0.375,1,0
24,2,0.45,0.25,0.3,1,1
24,2,0.3,0.55,0.15,1,0
24,3,0.3,0.325,0.375,1,1
24,3,0.45,0.25,0.3,1,0
24,4,0.3,0.55,0.15,1,0
24,4,0.3,0.1,0.6,1,1
25,1,0.525,0.1,0.375,1,1
25,1,0.3,0.325,0.375,1,0
25,2,0.45,0.25,0.3,1,0
25,2,0.3,0.1,0.6,1,1
25,3,0.3,0.325,0.375,1,0
25,3,0.45,0.25,0.3,1,1
25,4,0.3,0.1,0.6,1,0
25,4,0.525,0.1,0.375,1,1
26,1,0.45,0.25,0.3,1,0
26,1,0.3,0.325,0.375,1,1
26,2,0.3,0.55,0.15,1,0
26,2,0.525,0.325,0.15,1,1
26,3,0.3,0.325,0.375,1,1
26,3,0.3,0.55,0.15,1,0
26,4,0.525,0.325,0.15,1,0
26,4,0.45,0.25,0.3,1,1
27,1,0.45,0.25,0.3,1,0
27,1,0.3,0.55,0.15,1,1
27,2,0.3,0.325,0.375,1,0
27,2,0.525,0.325,0.15,1,1
27,3,0.3,0.55,0.15,1,0
27,3,0.3,0.325,0.375,1,1
27,4,0.525,0.325,0.15,1,1
27,4,0.45,0.25,0.3,1,0
28,1,0.3,0.1,0.6,1,0
28,1,0.45,0.25,0.3,1,1
28,2,0.3,0.325,0.375,1,1
28,2,0.525,0.1,0.375,1,0
28,3,0.45,0.25,0.3,1,1
28,3,0.3,0.325,0.375,1,0
28,4,0.525,0.1,0.375,1,0
28,4,0.3,0.1,0.6,1,1
29,1,0.3,0.1,0.6,1,1
29,1,0.45,0.25,0.3,1,0
29,2,0.3,0.325,0.375,1,1
29,2,0.3,0.55,0.15,1,0
29,3,0.45,0.25,0.3,1,1
29,3,0.3,0.325,0.375,1,0
29,4,0.3,0.55,0.15,1,1
29,4,0.3,0.1,0.6,1,0
30,1,0.45,0.25,0.3,1,1
30,1,0.3,0.1,0.6,1,0
30,2,0.3,0.55,0.15,1,1
30,2,0.3,0.325,0.375,1,0
30,3,0.3,0.1,0.6,1,0
30,3,0.3,0.55,0.15,1,1
30,4,0.3,0.325,0.375,1,0
30,4,0.45,0.25,0.3,1,1
31,1,0.45,0.25,0.3,1,1
31,1,0.525,0.1,0.375,1,0
31,2,0.75,0.1,0.15,1,1
31,2,0.3,0.1,0.6,1,0
31,3,0.525,0.1,0.375,1,0
31,3,0.75,0.1,0.15,1,1
31,4,0.3,0.1,0.6,1,0
31,4,0.45,0.25,0.3,1,1
32,1,0.45,0.25,0.3,1,1
32,1,0.3,0.55,0.15,1,0
32,2,0.525,0.325,0.15,1,0
32,2,0.75,0.1,0.15,1,1
32,3,0.3,0.55,0.15,1,0
32,3,0.525,0.325,0.15,1,1
32,4,0.75,0.1,0.15,1,0
32,4,0.45,0.25,0.3,1,1
33,1,0.75,0.1,0.15,1,1
33,1,0.45,0.25,0.3,1,0
33,2,0.525,0.325,0.15,1,1
33,2,0.3,0.55,0.15,1,0
33,3,0.45,0.25,0.3,1,0
33,3,0.525,0.325,0.15,1,1
33,4,0.3,0.55,0.15,1,0
33,4,0.75,0.1,0.15,1,1
34,1,0.3,0.55,0.15,1,1
34,1,0.3,0.325,0.375,1,0
34,2,0.45,0.25,0.3,1,1
34,2,0.3,0.1,0.6,1,0
34,3,0.3,0.325,0.375,1,0
34,3,0.45,0.25,0.3,1,1
34,4,0.3,0.1,0.6,1,0
34,4,0.3,0.55,0.15,1,1
35,1,0.525,0.1,0.375,1,1
35,1,0.45,0.25,0.3,1,0
35,2,0.75,0.1,0.15,1,1
35,2,0.525,0.325,0.15,1,0
35,3,0.45,0.25,0.3,1,1
35,3,0.75,0.1,0.15,1,0
35,4,0.525,0.325,0.15,1,1
35,4,0.525,0.1,0.375,1,0
100,1,0.75,0.1,0.15,1,1
100,1,0.75,0.1,0.15,0,0
100,2,0.3,0.55,0.15,1,1
100,2,0.3,0.55,0.15,0,0
100,3,0.75,0.1,0.15,1,1
100,3,0.75,0.1,0.15,0,0
100,4,0.45,0.25,0.3,1,1
100,4,0.45,0.25,0.3,0,0
100,1,0.3,0.325,0.375,1,1
100,1,0.3,0.325,0.375,0,0
100,2,0.3,0.1,0.6,1,1
100,2,0.3,0.1,0.6,0,0
100,3,0.525,0.325,0.15,1,1
100,3,0.525,0.325,0.15,0,0
100,4,0.525,0.1,0.375,1,1
100,4,0.525,0.1,0.375,0,0
100,1,0.75,0.1,0.15,1,1
100,1,0.75,0.1,0.15,0,0
100,2,0.3,0.55,0.15,1,1
100,2,0.3,0.55,0.15,0,0
100,3,0.75,0.1,0.15,1,1
100,3,0.75,0.1,0.15,0,0
100,4,0.45,0.25,0.3,1,1
100,4,0.45,0.25,0.3,0,0
100,1,0.3,0.325,0.375,1,1
100,1,0.3,0.325,0.375,0,0
100,2,0.3,0.1,0.6,1,1
100,2,0.3,0.1,0.6,0,0
100,3,0.525,0.325,0.15,1,1
100,3,0.525,0.325,0.15,0,0
100,4,0.525,0.1,0.375,1,1
100,4,0.525,0.1,0.375,0,0
